id,title,description,availability,condition,price,link,image_link,brand,fb_product_category
"off_03_nordvpn_security","NordVPN Proteção Total 70% OFF + 3 Meses Grátis","Aproveite NordVPN Proteção Total 70% OFF + 3 Meses Grátis com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=nordvpn&site=meta_controlled&slot=top_offer_03&sid=tw_nordvpn_sec","https://www.aquitemachadinhos.com.br/images/hero-banner.png","NordVPN","5605"
"off_13_tarot_astrologia_3d","Tarot 3D Interativo: Consulta Cósmica dos Arcanos Maiores","Aproveite Tarot 3D Interativo: Consulta Cósmica dos Arcanos Maiores com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://www.aquitemachadinhos.com.br/entretenimento.html#tarot","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Tarot 3D","5605"
"off_05_shopee_aspirador_robo","Aspirador Robô Inteligente Bivolt 4.9⭐","Aproveite Aspirador Robô Inteligente Bivolt 4.9⭐ com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=shopee&site=meta_controlled&slot=top_offer_05&sid=ig_shopee_robo","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Shopee","5605"
"off_11_booking_nordeste_resorts","Resorts All Inclusive Nordeste (Porto de Galinhas  Maragogi)","Aproveite Resorts All Inclusive Nordeste (Porto de Galinhas  Maragogi) com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=booking&site=meta_controlled&slot=top_offer_11&sid=ig_booking_nordeste","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Booking.com","5605"
"off_02_carla_rental_br","Aluguel de Carros com Menor Tarifa Garantida","Aproveite Aluguel de Carros com Menor Tarifa Garantida com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=carla&site=meta_controlled&slot=top_offer_02&sid=ig_carla_rental","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Carla Car Rental","5605"
"off_07_shopee_projetor_smart","Mini Projetor Smart Portátil 4K WiFi Cinema","Aproveite Mini Projetor Smart Portátil 4K WiFi Cinema com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=shopee&site=meta_controlled&slot=top_offer_07&sid=ig_shopee_projetor","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Shopee","5605"
"off_12_carla_rental_eua","Aluguel de Carro em Orlando  Miami (EUA) com Menor Tarifa","Aproveite Aluguel de Carro em Orlando  Miami (EUA) com Menor Tarifa com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=carla&site=meta_controlled&slot=top_offer_12&sid=ig_carla_orlando","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Carla Car Rental","5605"
"off_01_booking_gramado","Hotéis  Pousadas em Gramado (Natal Luz 2026)","Aproveite Hotéis  Pousadas em Gramado (Natal Luz 2026) com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=booking&site=meta_controlled&slot=top_offer_01&sid=ig_booking_gramado","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Booking.com","5605"
"off_06_shopee_airfryer_digital","Fritadeira Air Fryer Digital Touch 5L Bivolt","Aproveite Fritadeira Air Fryer Digital Touch 5L Bivolt com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=shopee&site=meta_controlled&slot=top_offer_06&sid=ig_shopee_airfryer","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Shopee","5605"
"off_09_amazon_echo_pop","Echo Pop Smart Speaker com Alexa Som Compacto","Aproveite Echo Pop Smart Speaker com Alexa Som Compacto com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=amazon_us&site=meta_controlled&slot=top_offer_09&sid=ig_amazon_echo","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Amazon","5605"
"off_08_amazon_kindle_paperwhite","Kindle Paperwhite 16GB Tela 6.8 à Prova D'água","Aproveite Kindle Paperwhite 16GB Tela 6.8 à Prova D'água com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=amazon_us&site=meta_controlled&slot=top_offer_08&sid=ig_amazon_kindle","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Amazon","5605"
"off_14_novakid_english","Aulas de Inglês Online para Crianças com Nativos","Aproveite Aulas de Inglês Online para Crianças com Nativos com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=novakid&site=meta_controlled&slot=top_offer_14&sid=ig_novakid_br","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Novakid","5605"
"off_04_udemy_ai_courses","Cursos Certificados de Inteligência Artificial  Python","Aproveite Cursos Certificados de Inteligência Artificial  Python com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=udemy&site=meta_controlled&slot=top_offer_04&sid=tw_udemy_ai","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Udemy","5605"
"off_10_meli_smartwatch_ultra","Smartwatch Ultra Series 9 AMOLED com GPS Integrado","Aproveite Smartwatch Ultra Series 9 AMOLED com GPS Integrado com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=mercadolivre&site=meta_controlled&slot=top_offer_10&sid=ig_meli_watch","https://www.aquitemachadinhos.com.br/images/hero-banner.png","Mercado Livre","5605"
"off_15_switchbot_smart_lock","SwitchBot Fechadura Smart Lock  Automação Residencial","Aproveite SwitchBot Fechadura Smart Lock  Automação Residencial com cupom exclusivo e frete gratis. Oferta verificada 2026.","in stock","new","99.90 BRL","https://achadinhos-ad-engine.vercel.app/api/ads/go?brand=switchbot&site=meta_controlled&slot=top_offer_15&sid=tw_switchbot_lock","https://www.aquitemachadinhos.com.br/images/hero-banner.png","SwitchBot","5605"
